seriesId,date,screen,views
top-gear,20200111,desktop,6147
family-guy,20200112,mobile,9
family-guy,20200112,tablet,9
top-gear,20200112,desktop,4183
top-gear,20200112,mobile,1528
top-gear,20200112,tv,3738
top-gear,20200112,tv,2089
top-gear,20200112,tablet,1022
family-guy,20200112,tv,24
family-guy,20200112,tv,61
family-guy,20200112,desktop,94
top-gear,20200112,tv,10
top-gear,20200113,tv,3164
top-gear,20200113,tablet,796
family-guy,20200113,mobile,8
top-gear,20200113,tv,1956
family-guy,20200113,tablet,23
family-guy,20200113,tv,41
top-gear,20200113,mobile,867
family-guy,20200113,tv,17
top-gear,20200113,desktop,2659
family-guy,20200113,desktop,97
top-gear,20200113,tv,7
family-guy,20200114,tv,22
top-gear,20200114,desktop,2122
top-gear,20200114,tv,7
top-gear,20200114,tablet,667
family-guy,20200114,mobile,30
top-gear,20200114,tv,1558
family-guy,20200114,desktop,103
family-guy,20200114,tablet,39
family-guy,20200114,tv,89
top-gear,20200114,tv,2620
top-gear,20200114,mobile,847
top-gear,20200115,tv,1270
top-gear,20200115,tv,2032
family-guy,20200115,tv,151
family-guy,20200115,mobile,33
family-guy,20200115,tablet,51
family-guy,20200115,tv,158
top-gear,20200115,mobile,491
family-guy,20200115,desktop,272
top-gear,20200115,tablet,392
top-gear,20200115,tv,1
top-gear,20200115,desktop,2240
family-guy,20200116,desktop,278
family-guy,20200116,tv,163
top-gear,20200116,mobile,987
top-gear,20200116,tv,3427
family-guy,20200116,tablet,82
top-gear,20200116,tv,2015
top-gear,20200116,tv,14
top-gear,20200116,tablet,837
family-guy,20200116,tv,139
top-gear,20200116,desktop,4067
family-guy,20200116,mobile,32
top-gear,20200117,tv,4790
top-gear,20200117,tv,2439
family-guy,20200117,tablet,58
family-guy,20200117,mobile,23
family-guy,20200117,desktop,202
top-gear,20200117,mobile,2060
top-gear,20200117,tv,10
top-gear,20200117,desktop,6395
family-guy,20200117,tv,149
top-gear,20200117,tablet,1436
family-guy,20200117,tv,52
family-guy,20200118,tablet,37
top-gear,20200118,tv,2268
top-gear,20200118,tablet,1089
family-guy,20200118,mobile,23
family-guy,20200118,tv,84
family-guy,20200118,desktop,134
family-guy,20200118,tv,21
top-gear,20200118,mobile,1487
top-gear,20200118,desktop,4625
top-gear,20200118,tv,3933
top-gear,20200118,tv,14
family-guy,20200119,tv,28
family-guy,20200119,mobile,28
top-gear,20200119,mobile,1469
family-guy,20200119,tv,1
top-gear,20200119,tv,2581
top-gear,20200119,tv,7
family-guy,20200119,tablet,37
top-gear,20200119,tablet,1093
top-gear,20200119,desktop,5244
top-gear,20200119,tv,5222
family-guy,20200119,desktop,133
family-guy,20200119,tv,65
top-gear,20200120,desktop,3607
family-guy,20200120,tv,28
family-guy,20200120,mobile,20
top-gear,20200120,tv,9
top-gear,20200120,tablet,1099
family-guy,20200120,desktop,100
top-gear,20200120,tv,1984
family-guy,20200120,tablet,13
family-guy,20200120,tv,73
top-gear,20200120,tv,3887
top-gear,20200120,mobile,1282
family-guy,20200121,mobile,24
top-gear,20200121,tv,8
family-guy,20200121,tablet,39
family-guy,20200121,tv,74
top-gear,20200121,desktop,2214
top-gear,20200121,tablet,784
family-guy,20200121,tv,2
top-gear,20200121,tv,3090
top-gear,20200121,mobile,971
family-guy,20200121,desktop,112
top-gear,20200121,tv,1677
family-guy,20200121,tv,21
family-guy,20200122,desktop,237
family-guy,20200122,tv,112
family-guy,20200122,tablet,59
top-gear,20200122,tv,3
top-gear,20200122,tablet,558
top-gear,20200122,desktop,2042
top-gear,20200122,tv,1150
family-guy,20200122,tv,214
top-gear,20200122,tv,2159
top-gear,20200122,mobile,762
family-guy,20200122,mobile,35
family-guy,20200123,mobile,15
family-guy,20200123,tablet,27
top-gear,20200123,tablet,1035
top-gear,20200123,mobile,1132
top-gear,20200123,tv,4226
top-gear,20200123,tv,2230
family-guy,20200123,tv,36
top-gear,20200123,tv,7
family-guy,20200123,desktop,146
family-guy,20200123,tv,88
top-gear,20200123,desktop,4234
family-guy,20200124,tablet,87
top-gear,20200124,desktop,5932
top-gear,20200124,tv,2567
top-gear,20200124,tablet,1616
family-guy,20200124,desktop,357
family-guy,20200124,tv,170
family-guy,20200124,tv,1
top-gear,20200124,tv,4813
family-guy,20200124,mobile,41
top-gear,20200124,mobile,1624
top-gear,20200124,tv,10
family-guy,20200124,tv,98
family-guy,20200125,desktop,198
top-gear,20200125,tablet,1750
top-gear,20200125,tv,3074
top-gear,20200125,mobile,1913
family-guy,20200125,tv,97
family-guy,20200125,mobile,102
top-gear,20200125,tv,5540
family-guy,20200125,tv,45
family-guy,20200125,tablet,35
top-gear,20200125,desktop,6655
top-gear,20200125,tv,17
family-guy,20200125,tv,1
top-gear,20200126,desktop,5489
family-guy,20200126,tv,37
family-guy,20200126,desktop,147
family-guy,20200126,tv,71
top-gear,20200126,tv,15
top-gear,20200126,tv,4585
top-gear,20200126,tablet,1384
family-guy,20200126,tablet,22
family-guy,20200126,mobile,28
top-gear,20200126,mobile,1560
top-gear,20200126,tv,2498
family-guy,20200127,mobile,30
top-gear,20200127,mobile,1079
family-guy,20200127,tv,23
family-guy,20200127,desktop,83
family-guy,20200127,tablet,19
top-gear,20200127,tablet,907
family-guy,20200127,tv,75
top-gear,20200127,tv,4090
top-gear,20200127,tv,2083
top-gear,20200127,desktop,3266
top-gear,20200127,tv,3
family-guy,20200128,tv,84
family-guy,20200128,tablet,35
top-gear,20200128,desktop,2650
top-gear,20200128,tablet,760
top-gear,20200128,tv,2043
family-guy,20200128,mobile,46
top-gear,20200128,tv,1
top-gear,20200128,tv,3535
top-gear,20200128,mobile,838
family-guy,20200128,desktop,113
family-guy,20200128,tv,49
family-guy,20200129,tv,27
top-gear,20200129,mobile,696
top-gear,20200129,tv,3
top-gear,20200129,tv,2518
top-gear,20200129,desktop,2144
family-guy,20200129,mobile,29
top-gear,20200129,tablet,536
family-guy,20200129,tablet,40
top-gear,20200129,tv,1456
family-guy,20200129,desktop,213
family-guy,20200129,tv,91
top-gear,20200130,tv,3432
family-guy,20200130,tablet,34
top-gear,20200130,tv,1903
top-gear,20200130,tablet,742
family-guy,20200130,tv,38
family-guy,20200130,mobile,25
family-guy,20200130,tv,77
top-gear,20200130,mobile,933
top-gear,20200130,desktop,3627
family-guy,20200130,desktop,123
top-gear,20200130,tv,4
family-guy,20200131,tablet,13
family-guy,20200131,desktop,148
top-gear,20200131,tv,1925
top-gear,20200131,desktop,4726
top-gear,20200131,tv,3688
family-guy,20200131,tv,77
top-gear,20200131,tv,4
top-gear,20200131,mobile,1325
family-guy,20200131,tv,26
top-gear,20200131,tablet,1036
family-guy,20200131,mobile,27
top-gear,20200201,tv,2252
top-gear,20200201,mobile,1427
family-guy,20200201,desktop,116
top-gear,20200201,tv,11
family-guy,20200201,tv,42
family-guy,20200201,mobile,42
family-guy,20200201,tablet,22
top-gear,20200201,tv,4162
top-gear,20200201,desktop,4880
top-gear,20200201,tablet,1104
family-guy,20200201,tv,40
top-gear,20200202,desktop,4795
top-gear,20200202,tablet,1352
family-guy,20200202,desktop,119
top-gear,20200202,tv,5
family-guy,20200202,tv,36
family-guy,20200202,tablet,9
top-gear,20200202,tv,1685
top-gear,20200202,tv,3225
family-guy,20200202,tv,55
top-gear,20200202,mobile,2139
family-guy,20200202,mobile,11
top-gear,20200203,mobile,946
family-guy,20200203,tv,26
top-gear,20200203,tv,6
top-gear,20200203,tv,2520
top-gear,20200203,tablet,675
top-gear,20200203,tv,1541
top-gear,20200203,desktop,1978
family-guy,20200203,tv,43
family-guy,20200203,mobile,12
family-guy,20200203,desktop,86
family-guy,20200203,tv,1
family-guy,20200203,tablet,33
family-guy,20200204,desktop,147
top-gear,20200204,mobile,711
top-gear,20200204,tv,1209
top-gear,20200204,tv,2207
family-guy,20200204,tablet,27
family-guy,20200204,tv,34
top-gear,20200204,tablet,556
top-gear,20200204,tv,1
family-guy,20200204,tv,88
family-guy,20200204,mobile,28
top-gear,20200204,desktop,1579
top-gear,20200205,tv,1382
top-gear,20200205,desktop,1218
family-guy,20200205,tv,43
family-guy,20200205,tablet,57
top-gear,20200205,tv,3
family-guy,20200205,tv,77
family-guy,20200205,mobile,33
top-gear,20200205,mobile,686
top-gear,20200205,tv,814
top-gear,20200205,tablet,383
family-guy,20200205,desktop,178
top-gear,20200206,tv,1539
top-gear,20200206,desktop,2889
top-gear,20200206,tv,2855
family-guy,20200206,mobile,19
top-gear,20200206,mobile,916
family-guy,20200206,tablet,40
family-guy,20200206,tv,74
top-gear,20200206,tablet,720
family-guy,20200206,desktop,155
family-guy,20200206,tv,36
family-guy,20200207,mobile,29
top-gear,20200207,mobile,2177
family-guy,20200207,tv,36
top-gear,20200207,tablet,1245
family-guy,20200207,tv,33
top-gear,20200207,tv,8
top-gear,20200207,tv,3642
top-gear,20200207,desktop,5410
family-guy,20200207,tablet,33
top-gear,20200207,tv,1592
family-guy,20200207,desktop,187
top-gear,20200208,tv,4241
top-gear,20200208,tv,4
family-guy,20200208,tablet,35
top-gear,20200208,tablet,1137
family-guy,20200208,tv,41
family-guy,20200208,desktop,135
family-guy,20200208,tv,33
top-gear,20200208,desktop,5098
top-gear,20200208,mobile,1468
family-guy,20200208,mobile,26
top-gear,20200208,tv,1874
family-guy,20200209,tablet,13
top-gear,20200209,tv,3254
top-gear,20200209,mobile,2435
top-gear,20200209,tv,14
family-guy,20200209,mobile,23
top-gear,20200209,tablet,1320
top-gear,20200209,tv,1635
family-guy,20200209,tv,63
family-guy,20200209,tv,26
top-gear,20200209,desktop,4490
family-guy,20200209,tv,2
family-guy,20200209,desktop,144
top-gear,20200210,tablet,653
top-gear,20200210,desktop,2303
family-guy,20200210,tv,22
top-gear,20200210,mobile,1001
top-gear,20200210,tv,1365
top-gear,20200210,tv,4
family-guy,20200210,desktop,63
top-gear,20200210,tv,2764
family-guy,20200210,tv,55
family-guy,20200210,mobile,13
family-guy,20200210,tablet,16
top-gear,20200211,desktop,2583
family-guy,20200211,tv,47
top-gear,20200211,tv,14
top-gear,20200211,mobile,888
family-guy,20200211,tv,21
family-guy,20200211,desktop,88
top-gear,20200211,tv,1283
top-gear,20200211,tv,2631
family-guy,20200211,mobile,27
top-gear,20200211,tablet,588
family-guy,20200211,tablet,20
top-gear,20200212,desktop,2037
family-guy,20200212,tv,39
top-gear,20200212,tablet,479
family-guy,20200212,tablet,31
top-gear,20200212,tv,895
family-guy,20200212,tv,35
family-guy,20200212,desktop,134
top-gear,20200212,tv,1940
family-guy,20200212,mobile,30
top-gear,20200212,tv,1
top-gear,20200212,mobile,687
top-gear,20200213,tablet,762
top-gear,20200213,tv,1262
top-gear,20200213,mobile,1079
top-gear,20200213,desktop,3289
family-guy,20200213,desktop,138
family-guy,20200213,tablet,21
top-gear,20200213,tv,2809
top-gear,20200213,tv,4
family-guy,20200213,tv,36
family-guy,20200213,tv,36
family-guy,20200213,mobile,23
top-gear,20200214,tv,3217
top-gear,20200214,tablet,1022
top-gear,20200214,tv,4
family-guy,20200214,mobile,23
family-guy,20200214,desktop,157
family-guy,20200214,tv,23
top-gear,20200214,mobile,1666
family-guy,20200214,tablet,19
family-guy,20200214,tv,42
top-gear,20200214,desktop,4294
top-gear,20200214,tv,1564
family-guy,20200215,mobile,50
top-gear,20200215,tv,2912
top-gear,20200215,tv,1271
top-gear,20200215,tv,2
top-gear,20200215,tablet,731
family-guy,20200215,tv,62
family-guy,20200215,tablet,15
family-guy,20200215,desktop,110
family-guy,20200215,tv,26
top-gear,20200215,mobile,956
top-gear,20200215,desktop,3148
top-gear,20200216,mobile,1465
top-gear,20200216,tv,3816
family-guy,20200216,tablet,20
family-guy,20200216,tv,39
top-gear,20200216,tablet,952
top-gear,20200216,tv,1735
family-guy,20200216,mobile,28
family-guy,20200216,tv,49
top-gear,20200216,desktop,4165
family-guy,20200216,desktop,116
top-gear,20200216,tv,6
family-guy,20200217,tv,25
top-gear,20200217,desktop,3101
top-gear,20200217,tv,7
family-guy,20200217,tablet,13
family-guy,20200217,tv,41
top-gear,20200217,mobile,1080
top-gear,20200217,tv,2866
top-gear,20200217,tablet,697
top-gear,20200217,tv,1457
family-guy,20200217,desktop,66
family-guy,20200217,mobile,21
family-guy,20200218,desktop,93
top-gear,20200218,tv,2900
top-gear,20200218,tablet,550
family-guy,20200218,tv,35
top-gear,20200218,tv,3
family-guy,20200218,tablet,18
family-guy,20200218,tv,52
top-gear,20200218,desktop,2610
top-gear,20200218,tv,1348
family-guy,20200218,mobile,19
top-gear,20200218,mobile,768
family-guy,20200219,mobile,30
family-guy,20200219,desktop,116
family-guy,20200219,tablet,21
top-gear,20200219,desktop,1680
top-gear,20200219,tv,878
top-gear,20200219,tv,3
family-guy,20200219,tv,17
family-guy,20200219,tv,45
top-gear,20200219,mobile,581
top-gear,20200219,tv,1740
top-gear,20200219,tablet,443
top-gear,20200220,tv,2696
top-gear,20200220,tv,1354
family-guy,20200220,desktop,92
top-gear,20200220,mobile,980
family-guy,20200220,tablet,28
top-gear,20200220,tv,17
family-guy,20200220,tv,72
family-guy,20200220,tv,16
family-guy,20200220,mobile,23
top-gear,20200220,tablet,775
top-gear,20200220,desktop,3063
family-guy,20200221,tv,20
top-gear,20200221,desktop,3626
family-guy,20200221,mobile,29
family-guy,20200221,tv,75
top-gear,20200221,tv,2
top-gear,20200221,tv,2793
top-gear,20200221,tablet,937
family-guy,20200221,tablet,18
top-gear,20200221,mobile,1393
top-gear,20200221,tv,1285
family-guy,20200221,desktop,102
top-gear,20200222,tv,3605
family-guy,20200222,mobile,29
top-gear,20200222,desktop,3855
family-guy,20200222,tablet,18
top-gear,20200222,tv,1603
top-gear,20200222,tablet,900
top-gear,20200222,tv,11
family-guy,20200222,tv,54
family-guy,20200222,desktop,153
top-gear,20200222,mobile,1213
family-guy,20200222,tv,55
family-guy,20200223,desktop,118
top-gear,20200223,mobile,1111
top-gear,20200223,tablet,642
top-gear,20200223,tv,2704
family-guy,20200223,mobile,19
top-gear,20200223,tv,1379
top-gear,20200223,desktop,3004
family-guy,20200223,tv,17
top-gear,20200223,tv,1
family-guy,20200223,tv,71
family-guy,20200223,tablet,20
family-guy,20200224,tv,30
top-gear,20200224,desktop,1635
family-guy,20200224,desktop,91
top-gear,20200224,tablet,414
top-gear,20200224,mobile,624
family-guy,20200224,tv,56
top-gear,20200224,tv,4
top-gear,20200224,tv,2025
top-gear,20200224,tv,1029
family-guy,20200224,tablet,19
family-guy,20200224,mobile,24
top-gear,20200225,tv,12
family-guy,20200225,mobile,30
top-gear,20200225,mobile,564
family-guy,20200225,desktop,101
family-guy,20200225,tablet,27
family-guy,20200225,tv,35
top-gear,20200225,desktop,1426
family-guy,20200225,tv,70
top-gear,20200225,tv,788
top-gear,20200225,tablet,396
top-gear,20200225,tv,1577
family-guy,20200226,desktop,119
top-gear,20200226,tv,1349
family-guy,20200226,tv,53
top-gear,20200226,desktop,1162
family-guy,20200226,tv,34
family-guy,20200226,tablet,29
top-gear,20200226,tv,694
family-guy,20200226,mobile,30
top-gear,20200226,mobile,580
top-gear,20200226,tablet,281
top-gear,20200226,tv,1
family-guy,20200227,tablet,21
family-guy,20200227,tv,50
top-gear,20200227,tv,5
top-gear,20200227,tablet,776
family-guy,20200227,tv,63
family-guy,20200227,mobile,19
family-guy,20200227,desktop,94
top-gear,20200227,tv,1279
top-gear,20200227,desktop,2825
top-gear,20200227,mobile,901
top-gear,20200227,tv,2807
top-gear,20200228,tablet,1089
top-gear,20200228,tv,6
family-guy,20200228,tv,79
top-gear,20200228,tv,1449
top-gear,20200228,tv,3367
top-gear,20200228,desktop,4366
family-guy,20200228,tv,32
family-guy,20200228,tablet,26
family-guy,20200228,desktop,147
family-guy,20200228,mobile,32
top-gear,20200228,mobile,1263
family-guy,20200301,tablet,28
top-gear,20200301,tablet,1152
top-gear,20200301,tv,1987
family-guy,20200301,mobile,15
family-guy,20200301,desktop,183
top-gear,20200301,tv,4389
top-gear,20200301,desktop,4912
family-guy,20200301,tv,54
top-gear,20200301,mobile,1376
top-gear,20200301,tv,11
family-guy,20200301,tv,39
family-guy,20200302,tablet,6
top-gear,20200302,desktop,3127
top-gear,20200302,tv,7
top-gear,20200302,tablet,772
family-guy,20200302,tv,24
top-gear,20200302,tv,3371
family-guy,20200302,desktop,130
family-guy,20200302,mobile,15
family-guy,20200302,tv,22
top-gear,20200302,mobile,1025
top-gear,20200302,tv,1361
top-gear,20200303,tv,2982
top-gear,20200303,tablet,668
family-guy,20200303,tv,3
top-gear,20200303,tv,1
family-guy,20200303,desktop,86
family-guy,20200303,tv,1
top-gear,20200303,tv,1439
family-guy,20200303,tv,51
top-gear,20200303,desktop,2898
family-guy,20200303,tablet,5
family-guy,20200303,mobile,17
top-gear,20200303,mobile,847
breaking-bad,20200304,desktop,16727
family-guy,20200304,desktop,147
breaking-bad,20200304,tv,76
family-guy,20200304,tv,57
breaking-bad,20200304,tv,13250
breaking-bad,20200304,tablet,5994
breaking-bad,20200304,mobile,5314
top-gear,20200304,tv,10
top-gear,20200304,tablet,668
breaking-bad,20200304,tv,21010
family-guy,20200304,mobile,15
family-guy,20200304,tablet,25
top-gear,20200304,desktop,2256
top-gear,20200304,tv,1045
family-guy,20200304,tv,19
top-gear,20200304,tv,2547
top-gear,20200304,mobile,789
breaking-bad,20200305,mobile,5185
family-guy,20200305,tv,44
family-guy,20200305,desktop,197
top-gear,20200305,tv,1823
top-gear,20200305,mobile,723
family-guy,20200305,tv,55
breaking-bad,20200305,tv,57
top-gear,20200305,desktop,1877
breaking-bad,20200305,tv,10611
breaking-bad,20200305,tv,16024
breaking-bad,20200305,tablet,6533
family-guy,20200305,mobile,21
family-guy,20200305,tablet,22
top-gear,20200305,tablet,552
top-gear,20200305,tv,1
breaking-bad,20200305,desktop,19788
top-gear,20200305,tv,784
top-gear,20200306,mobile,941
breaking-bad,20200306,tv,11840
family-guy,20200306,mobile,24
breaking-bad,20200306,tv,46
breaking-bad,20200306,tablet,4145
family-guy,20200306,tv,37
family-guy,20200306,tv,46
top-gear,20200306,tv,2
family-guy,20200306,desktop,163
top-gear,20200306,tv,1160
top-gear,20200306,tv,2911
family-guy,20200306,tablet,28
breaking-bad,20200306,mobile,3650
breaking-bad,20200306,desktop,13154
breaking-bad,20200306,tv,6743
top-gear,20200306,desktop,3401
top-gear,20200306,tablet,817
family-guy,20200307,desktop,142
top-gear,20200307,tv,3314
top-gear,20200307,mobile,1395
breaking-bad,20200307,tv,19
breaking-bad,20200307,tv,7394
family-guy,20200307,tablet,16
top-gear,20200307,desktop,4364
breaking-bad,20200307,desktop,8277
breaking-bad,20200307,tablet,2395
breaking-bad,20200307,mobile,2399
top-gear,20200307,tv,1215
top-gear,20200307,tv,4
family-guy,20200307,tv,21
breaking-bad,20200307,tv,3911
top-gear,20200307,tablet,899
family-guy,20200307,tv,50
family-guy,20200307,mobile,12
top-gear,20200308,mobile,1298
top-gear,20200308,tv,1795
breaking-bad,20200308,desktop,6428
top-gear,20200308,tv,3686
top-gear,20200308,desktop,4537
family-guy,20200308,tablet,22
top-gear,20200308,tv,4
breaking-bad,20200308,tv,3097
family-guy,20200308,mobile,29
family-guy,20200308,tv,26
family-guy,20200308,tv,52
top-gear,20200308,tablet,968
breaking-bad,20200308,tablet,1753
breaking-bad,20200308,tv,6098
breaking-bad,20200308,tv,17
family-guy,20200308,desktop,127
breaking-bad,20200308,mobile,1746
family-guy,20200309,tv,28
breaking-bad,20200309,mobile,1492
family-guy,20200309,desktop,91
top-gear,20200309,tv,3524
breaking-bad,20200309,tv,2625
family-guy,20200309,tv,23
breaking-bad,20200309,tablet,1414
family-guy,20200309,tablet,24
top-gear,20200309,tablet,735
top-gear,20200309,mobile,1087
breaking-bad,20200309,desktop,4948
breaking-bad,20200309,tv,16
breaking-bad,20200309,tv,4929
top-gear,20200309,tv,1427
family-guy,20200309,mobile,32
top-gear,20200309,desktop,3599
top-gear,20200309,tv,12
family-guy,20200310,desktop,86
family-guy,20200310,tv,11
family-guy,20200310,tv,75
top-gear,20200310,mobile,782
top-gear,20200310,tablet,635
breaking-bad,20200310,tv,5059
breaking-bad,20200310,tablet,1446
breaking-bad,20200310,tv,2645
breaking-bad,20200310,desktop,4630
top-gear,20200310,tv,1395
breaking-bad,20200310,tv,15
top-gear,20200310,tv,2979
top-gear,20200310,tv,6
breaking-bad,20200310,mobile,1472
top-gear,20200310,desktop,2580
family-guy,20200310,mobile,11
family-guy,20200310,tablet,10
top-gear,20200311,tv,1187
breaking-bad,20200311,desktop,32517
breaking-bad,20200311,tablet,10325
family-guy,20200311,tv,3
breaking-bad,20200311,mobile,9419
family-guy,20200311,tablet,16
top-gear,20200311,desktop,2745
breaking-bad,20200311,tv,34656
top-gear,20200311,tv,4
breaking-bad,20200311,tv,19439
family-guy,20200311,tv,43
breaking-bad,20200311,tv,84
top-gear,20200311,tablet,582
top-gear,20200311,mobile,834
top-gear,20200311,tv,3002
family-guy,20200311,mobile,13
family-guy,20200311,tv,51
family-guy,20200311,desktop,90
family-guy,20200312,desktop,176
top-gear,20200312,desktop,2012
breaking-bad,20200312,tv,17252
breaking-bad,20200312,mobile,5919
family-guy,20200312,tv,14
top-gear,20200312,tv,2023
family-guy,20200312,mobile,24
top-gear,20200312,mobile,635
top-gear,20200312,tv,5
family-guy,20200312,tv,47
breaking-bad,20200312,desktop,19855
breaking-bad,20200312,tv,36
family-guy,20200312,tablet,20
breaking-bad,20200312,tv,9777
top-gear,20200312,tv,816
breaking-bad,20200312,tablet,6385
top-gear,20200312,tablet,469
top-gear,20200313,desktop,3008
family-guy,20200313,desktop,179
family-guy,20200313,tablet,11
breaking-bad,20200313,desktop,9257
family-guy,20200313,mobile,29
breaking-bad,20200313,tv,8363
top-gear,20200313,tv,6
top-gear,20200313,tablet,658
breaking-bad,20200313,tv,4634
family-guy,20200313,tv,24
breaking-bad,20200313,mobile,2741
breaking-bad,20200313,tv,19
breaking-bad,20200313,tablet,3061
top-gear,20200313,tv,1095
family-guy,20200313,tv,41
top-gear,20200313,tv,2543
top-gear,20200313,mobile,846
breaking-bad,20200314,tv,3373
family-guy,20200314,tablet,22
breaking-bad,20200314,tablet,2045
top-gear,20200314,tv,2848
breaking-bad,20200314,tv,7
family-guy,20200314,desktop,152
breaking-bad,20200314,tv,5896
family-guy,20200314,tv,24
breaking-bad,20200314,desktop,6539
top-gear,20200314,tv,3
top-gear,20200314,mobile,1173
family-guy,20200314,mobile,35
breaking-bad,20200314,mobile,2239
top-gear,20200314,tablet,701
top-gear,20200314,tv,1355
family-guy,20200314,tv,26
top-gear,20200314,desktop,3661
family-guy,20200315,desktop,113
top-gear,20200315,tablet,854
breaking-bad,20200315,tv,5718
breaking-bad,20200315,tv,3331
top-gear,20200315,tv,3
family-guy,20200315,tv,13
family-guy,20200315,mobile,33
breaking-bad,20200315,tv,16
top-gear,20200315,mobile,1226
family-guy,20200315,tv,34
family-guy,20200315,tablet,27
breaking-bad,20200315,desktop,5983
top-gear,20200315,desktop,3504
breaking-bad,20200315,tablet,2054
top-gear,20200315,tv,1301
top-gear,20200315,tv,2977
breaking-bad,20200315,mobile,2247
breaking-bad,20200316,tablet,1547
breaking-bad,20200316,tv,2773
top-gear,20200316,tv,1316
top-gear,20200316,mobile,1417
top-gear,20200316,desktop,3487
family-guy,20200316,mobile,36
family-guy,20200316,tv,16
breaking-bad,20200316,tv,8
top-gear,20200316,tv,4
top-gear,20200316,tablet,811
breaking-bad,20200316,desktop,4866
breaking-bad,20200316,mobile,1823
family-guy,20200316,desktop,137
top-gear,20200316,tv,2939
breaking-bad,20200316,tv,4725
family-guy,20200316,tv,20
family-guy,20200316,tablet,19
breaking-bad,20200317,tv,24
top-gear,20200317,tv,1370
top-gear,20200317,desktop,2718
family-guy,20200317,tablet,3
top-gear,20200317,tv,2689
breaking-bad,20200317,tablet,1817
family-guy,20200317,tv,39
breaking-bad,20200317,tv,3009
family-guy,20200317,tv,26
breaking-bad,20200317,mobile,1963
top-gear,20200317,mobile,1073
top-gear,20200317,tv,8
family-guy,20200317,mobile,15
family-guy,20200317,desktop,102
breaking-bad,20200317,tv,4921
top-gear,20200317,tablet,862
breaking-bad,20200317,desktop,5288
top-gear,20200318,tv,13
breaking-bad,20200318,tv,97
breaking-bad,20200318,tv,37526
breaking-bad,20200318,desktop,36779
breaking-bad,20200318,tablet,11387
breaking-bad,20200318,mobile,12211
family-guy,20200318,mobile,26
